declaracao_pessoa_cnpj,declaracao_item_pessoa_cnpj,declaracao_item_municipio,declaracao_codigo,declaracao_item_codigo,declaracao_item_quantidade,ano
9901434904,72332778001008.0,Anchieta,174250,2612895.0,0.008,2022
29166055920,29166055920.0,Navegantes,290065,3458855.0,2.0,4043
29166055920,89548523000261.0,Itajaí,522713,7838570.0,4.35,6066
239339000145,82777244000140.0,Presidente Castello Branco,2559851,37287649.0,118.91,24279
239339000145,82814575000102.0,Ipumirim,3794856,56296035.0,1298.71,34398
239339000145,82815085000120.0,Peritiba,3944589,58074847.0,386.1,36420
239339000145,82939455000131.0,Irani,3944589,58074829.0,1581.28,36420
239339000145,83024240000153.0,Itá,3482183,51140193.0,1439.76,32373
239339000145,83024257000100.0,Concórdia,3639223,53546119.0,4480.6,34396
239339000145,95996187000131.0,Vargem Bonita,3332450,49361399.0,466.07,30351
551611000128,5026402000189.0,Iporã do Oeste,5570172,83334636.0,0.742,48564
1605479000152,6101313000112.0,Içara,148562,1773712.0,25.67,2022
1606852000190,31049979000116.0,Otacílio Costa,5501205,80858366.0,934.4300000000001,58661
1608820000123,83073536000164.0,Lages,2454575,37025083.0,158.96,22258
1608905000101,1608905000101.0,Ermo,500510,7419430.0,7.826,4047
1608905000101,6101313000112.0,Içara,1350991,19073421.0,292.54,14160
1613101000109,50668722001916.0,Biguaçu,2494762,37057566.0,0.66472,20235
1613120000127,31049979000116.0,Otacílio Costa,6363011,94896867.0,485.74,62716
1994951002997,64368000113.0,Araquari,190824,2928061.0,4.5,2023
2279324001884,3094629000136.0,Itajaí,150302,1781545.0,2.217,2022
2279324002007,3094629000136.0,Itajaí,148300,1769605.0,1.01,2022
2670063000180,5026402000189.0,Iporã do Oeste,4836714,72697571.0,0.36711000000000005,44512
3094629000136,3094629000136.0,Itajaí,3547130,52225780.0,145070.64,28329
3094629000136,3094629000136.0,Joinville,5097891,81667213.0,362965.17,54623
3094629000136,83009860000113.0,Xanxerê,471086,7205134.0,1860.0,4047
3094629000136,83102277000152.0,Itajaí,6159331,91168066.0,308249.54,64731
3094629000136,83102285000107.0,Balneário Camboriú,5906193,86350510.0,188079.60001,62706
3094629000136,83169623000110.0,Joinville,4592763,75003203.0,332650.93,50576
3094629000136,95954509000180.0,Balneário Barra do Sul,4592763,75003226.0,10028.34,50576
3111139000109,5278562000115.0,Timbó,9333363,137586897.0,32330.079999999998,91035
3111139000109,27397940000112.0,Ilhota,9333363,137586638.0,14520.14,91035
3111139000109,79373767000116.0,Apiúna,9333363,137586364.0,5221.96,91035
3111139000109,79373775000162.0,Doutor Pedrinho,9333363,137586526.0,1107.48,91035
3111139000109,83102319000155.0,Luiz Alves,9333363,137586722.0,8435.44,91035
3111139000109,83102350000196.0,Botuverá,9333363,137586493.0,3445.47,91035
3111139000109,83102368000198.0,Guabiruba,9185059,135806666.0,19188.510000000002,89013
3111139000109,83102467000170.0,Corupá,6805890,101943393.0,7249.46,60701
3111139000109,83102475000116.0,Guaramirim,6805890,101943465.0,24597.71,60701
3111139000109,83102483000162.0,Massaranduba,9333363,137586757.0,11722.56,91035
3111139000109,83102640000130.0,Ituporanga,9031144,133904532.0,16087.33838,86991
3111139000109,83102772000161.0,Ascurra,9333363,137586399.0,5492.68,91035
3111139000109,83102780000108.0,Benedito Novo,9333363,137586434.0,4319.74,91035
3111139000109,83102798000100.0,Indaial,9333363,137586653.0,51530.15,91035
3111139000109,83102806000118.0,Rio dos Cedros,9185059,135806926.0,6634.02041,89013
3111139000109,83102814000164.0,Rodeio,9185059,135806960.0,7929.51,89013
3111139000109,85461804000140.0,Pomerode,9333363,137586792.0,20288.04,91035
3295188000130,3295188000130.0,Timbó,463310,6938670.0,2.0,4047
3532453000157,904606000151.0,Blumenau,13588648,201751473.0,318.60699999999997,115326
3777341000832,7067001000100.0,São José dos Pinhais,1127935,16998523.0,0.0051,10117
3817469000297,7756675000104.0,Rio Negrinho,343472,5206623.0,0.0132,4044
4255158000163,8202444000111.0,Campo do Tenente,3986686,58194727.0,425.0,44501
4255158000163,31049979000116.0,Otacílio Costa,2854770,42244618.0,152.35999999999999,30343
4255158000163,37549597000138.0,Rio Negro,2200237,33404974.0,120.0,24276
4328816000108,1612698000169.0,Entre Rios,1293981,17431093.0,104.98,16176
4328816000108,72332778000451.0,Erval Velho,976216,13253397.0,2323.81,12132
4328816000108,78505591000146.0,União do Oeste,1293981,17431115.0,252.34,16176
4328816000108,83009860000113.0,Xanxerê,1125489,14879419.0,5810.0,14154
4328816000108,83009886000161.0,Abelardo Luz,1467375,20040336.0,1606.7,18198
4328816000108,83009894000108.0,São Domingos,1293981,17431113.0,849.3100000000001,16176
4328816000108,83021865000161.0,Quilombo,1293981,17431109.0,933.62,16176
4328816000108,95990198000104.0,Cordilheira Alta,1293981,17431086.0,174.55,16176
4572787000117,6101313000112.0,Içara,2026663,28474421.0,20033.48,24268
4572787000117,6328300000180.0,Urussanga,2026663,28474419.0,938.31,24268
4713172000163,4647090000168.0,Chapecó,635626,7838338.0,2.4,8088
5278562000115,3111139000109.0,Timbó,8956053,131302442.0,502448.49,86988
5278562000115,5278562000115.0,Timbó,1390750,20815820.0,4388.62,12141
5366444002960,82846726000104.0,São José,2952320,43485324.0,1.1759199999999999,24282
5666925000190,1612888000186.0,Bela Vista do Toldo,6486840,96979708.0,888.45,56656
5666925000190,11828418000108.0,Três Barras,6588401,97126586.0,19032.46,64734
5666925000190,75193516000107.0,São João do Triunfo,9310633,136990669.0,3924.94,91035
5666925000190,75654566000136.0,Mallet,2364240,33302263.0,1646.26,28312
5666925000190,76002641000147.0,Preencher,172483,2606470.0,371.23,2022
5666925000190,76002641000147.0,Rio Negro,9606198,141344929.0,19486.89,93060
5666925000190,76002658000102.0,Campo do Tenente,9778681,143951247.0,4011.62,95082
5666925000190,76020460000143.0,Antônio Olinto,9778681,143951486.0,1497.01,95082
5666925000190,77774859000182.0,Rebouças,2512421,35084072.0,2058.1,30334
5666925000190,81140303000101.0,Itapoá,9778681,143951339.0,45890.19,95082
5666925000190,83102384000180.0,Canoinhas,7618269,111166794.0,25853.260000000002,72829
5666925000190,83102392000127.0,Major Vieira,9778681,143951594.0,2138.036,95082
5666925000190,83102459000123.0,Jaraguá do Sul,9778681,143951472.0,158727.65,95082
5666925000190,83102467000170.0,Corupá,2701997,38000151.0,3335.05,32357
5666925000190,83102475000116.0,Guaramirim,2512421,35084051.0,11165.41,30334
5666925000190,83102491000109.0,Schroeder,9778681,143951507.0,14226.37,95082
5666925000190,83102509000172.0,Mafra,8861481,131391669.0,30058.079999999998,84969
5666925000190,83102517000119.0,Itaiópolis,9778681,143951282.0,9732.3,95082
5666925000190,83102525000165.0,Monte Castelo,9778681,143951366.0,3479.86,95082
5666925000190,83102533000101.0,Papanduva,8473432,126750721.0,7468.76,78904
5666925000190,83102558000105.0,Irineópolis,9474906,140230889.0,3609.34,91038
5666925000190,83102566000151.0,Matos Costa,6203232,91389942.0,550.14,64731
5666925000190,95951323000177.0,Santa Terezinha,9778681,143951434.0,1031.35,95082
6017932000123,6017932000123.0,Fraiburgo,3657452,55108696.0,9397.24,34395
6101313000112,1605479000152.0,Balneário Arroio do Silva,9643681,143097219.0,19204.95,91040
6101313000112,1608905000101.0,Ermo,9067842,134318920.0,2096.33,84971
6101313000112,1614019000190.0,Treviso,2760236,41303694.0,291.6,26299
6101313000112,4572787000117.0,Urussanga,630043,8194655.0,6379.8,8088
6101313000112,7581720000137.0,Içara,1149656,16021259.0,6782.4,14154
6101313000112,10610252000196.0,Jaguaruna,156899,1940503.0,111.29,2022
6101313000112,17243084000197.0,Balneário Rincão,8494025,127076476.0,18900.29,76886
6101313000112,17509587000161.0,Balneário Rincão,1149656,16021262.0,3265.79,14154
6101313000112,80989965000198.0,Santa Rosa do Sul,2253886,32772237.0,1409.6499999999999,26291
6101313000112,81531162000158.0,Forquilhinha,9643681,143097335.0,21865.406,91040
6101313000112,82548983000160.0,Turvo,9643681,143097657.0,9892.82,91040
6101313000112,82558909000124.0,Lauro Müller,868088,13052648.0,961.0699999999999,10111
6101313000112,82837741000196.0,Meleiro,9643681,143097416.0,4717.4,91040
6101313000112,82911249000113.0,Araranguá,9643681,143097200.0,62777.450000000004,91040
6101313000112,82913211000180.0,Praia Grande,8145550,121850399.0,3885.04,72841
6101313000112,82915026000124.0,Maracajá,9643681,143097380.0,4184.6,91040
6101313000112,82915232000134.0,Timbé do Sul,9449990,140143938.0,2801.0299999999997,89017
6101313000112,82916800000111.0,Içara,8494025,127076408.0,45093.0,76886
6101313000112,82916818000113.0,Criciúma,9643681,143097258.0,197160.59,91040
6101313000112,82916826000160.0,Nova Veneza,9643681,143097475.0,10768.59,91040
6101313000112,82926536000105.0,São Ludgero,356395,5414039.0,35.7,4045
6101313000112,82928698000174.0,Jaguaruna,4631420,69753557.0,2473.3199999999997,44509
6101313000112,82929407000162.0,Siderópolis,5677388,84838588.0,1448.41,52603
6101313000112,82930181000110.0,Preencher,208355,3141650.0,307.74,2023
6101313000112,82930181000110.0,Urussanga,868088,13052673.0,1439.8600000000001,10111
6101313000112,82960758000136.0,Jacinto Machado,9643681,143097353.0,5596.5199999999995,91040
6101313000112,82963216000117.0,Sombrio,5701103,84744225.0,13240.63,58664
6101313000112,83000323000102.0,Morro da Fumaça,8805283,131761310.0,12616.56,80929
6101313000112,87876801000101.0,Torres,9643681,143097628.0,54988.81,91040
6101313000112,92265990000108.0,Torres,167950,2543089.0,102.3,2022
6101313000112,95778056000188.0,Cocal do Sul,8243231,123190099.0,2893.0,74860
6101313000112,95782785000108.0,Morro Grande,9643681,143097440.0,1600.4,91040
6816506000150,12475797000162.0,Cocal do Sul,414509,6261822.0,0.0011,4046
7128161000104,3720956000156.0,Joinville,207126,3128182.0,4.8,2023
7128161000104,7128161000104.0,Araquari,201271,3042430.0,0.1,2023
7128161000104,95886735000170.0,Brusque,9666045,144843399.0,122.516,87000
7260172000143,95886735000170.0,Brusque,190825,2928062.0,0.003,2023
7541596000186,904606000151.0,Blumenau,172003,2604660.0,6.74,2022
7541596000186,92791243000294.0,Vargem Bonita,172003,2604659.0,26.64,2022
7581720000137,6101313000112.0,Içara,1833753,25968065.0,8855.65113,22244
7676152000158,28072934000158.0,Araquari,443050,6723984.0,10.0,4047
7756675000104,11828418000108.0,Três Barras,2302242,34577330.0,946.11924,20235
7756675000104,83102384000180.0,Canoinhas,2070653,31416306.0,1621.77575,20232
7756675000104,83102533000101.0,Papanduva,569280,8771405.0,0.38741000000000003,6069
7756675000104,83102749000177.0,Campo Alegre,7988086,119951450.0,1958.33716,78903
7756675000104,83102756000179.0,Rio Negrinho,150347,1781705.0,288.1,2022
8289417000128,8289417000128.0,Paulo Lopes,498846,7411164.0,0.3481,4047
8289417000128,50668722001916.0,Biguaçu,1995424,29644704.0,1.2587000000000002,16188
8321661000120,50668722001916.0,Biguaçu,3990626,59283232.0,0.3972,32376
8585935000199,50668722001916.0,Biguaçu,2998234,44495346.0,2.4491199999999997,24282
8717030000125,8837034000147.0,Itajaí,171877,2604321.0,625.0,2022
8909439000143,6199829000141.0,Canoinhas,920110,13839190.0,5.2,8094
8935681000191,50668722001916.0,Biguaçu,2496300,37074860.0,184.41164,20235
8944802000161,6101313000112.0,Içara,7201616,108562952.0,1405.1299999999999,72825
9268917000146,9268917000146.0,Blumenau,167560,2540074.0,1.59,2022
9436576000170,8810422000134.0,Caçador,1722463,23846313.0,650.5,20225
9436576000170,45989050001404.0,Três Barras,2680029,38771231.0,5806.081,30341
9436576000170,77911261000350.0,Santa Cecília,1962707,28365671.0,519.64,22250
9436576000170,81905176001409.0,Curitibanos,2574784,38510005.0,7797.64,28321
9436576000170,83056804000130.0,Caçador,2361902,34846309.0,1795.3600000000001,26297
9436576000170,84932748000201.0,Santa Cecília,476300,5876937.0,238.0,6066
10443676000103,6123883000103.0,Lacerdópolis,377831,5821229.0,0.0002,4046
10619295000132,59105999003959.0,Joinville,15684684,231133980.0,7408.26,125457
10619295000213,29958609000150.0,Joinville,15101710,223164926.0,10826.057999999999,121410
11148262000114,50668722001916.0,Biguaçu,2498348,37079160.0,26.38476,20235
11170829000159,2888183000159.0,Caçador,338648,5116342.0,0.31000000000000005,4044
11170829000159,75416677000104.0,Caçador,338648,5116342.0,3.96,4044
11201681000172,83074302000131.0,Caçador,1507308,22256758.0,7299.700000000001,12141
11312860000187,50668722001916.0,Biguaçu,2497786,37078200.0,25.66584,20235
11607006000148,50668722001916.0,Biguaçu,2497310,37077106.0,10.2856,20235
11828418000108,5666925000190.0,Mafra,2053691,29699202.0,2979.37,24267
11881221000132,3391986000166.0,Concórdia,185512,2805449.0,37.79,2023
11881221000132,8810422000134.0,Caçador,185496,2805429.0,10.0,2023
11881221000132,45989050001404.0,Três Barras,2304523,33088493.0,6753.0,26295
11881221000132,77911261000350.0,Santa Cecília,3603105,52726663.0,2245.6,40456
11881221000132,84932748000201.0,Santa Cecília,185514,2805460.0,42.0,2023
12084484000183,72332778001008.0,Anchieta,171233,2600396.0,0.00276,2022
12092636000190,50668722001916.0,Biguaçu,1496658,22233648.0,26.59714,12141
12092636000190,82892316000108.0,Palhoça,498876,7411202.0,0.0123,4047
13335068000254,72332778001008.0,Anchieta,189785,2923919.0,0.0004,2023
13774839000129,83631051000149.0,Rio do Sul,155132,1930162.0,36.0,2022
14459450000151,4647090000168.0,Chapecó,158542,2770130.0,10.0,2023
14863267000117,4647090000168.0,Chapecó,341257,5169352.0,0.4,4044
14863267000117,5026402000189.0,Iporã do Oeste,7187785,109243472.0,0.574,70811
16978577000102,95886735000847.0,Brusque,363494,5525875.0,5727.75,4046
20002225000194,8837034000147.0,Itajaí,171887,2604344.0,40.0,2022
23051064000117,83102541000158.0,Porto União,11893126,179507298.0,41.6,105222
24334612000189,24334612000189.0,Timbó,919564,13838010.0,0.0143,8094
27397940000112,3111139000109.0,Timbó,626669,7746438.0,1154.08,8088
27855148000164,95886735000170.0,Brusque,473940,5870025.0,0.025,6066
31049979000116,1606852000190.0,Bocaína do Sul,8308209,122720696.0,1343.27,82941
31049979000116,1613120000127.0,Chapadão do Lageado,7463246,110122313.0,561.47,72828
31049979000116,75326066000175.0,Otacílio Costa,8308209,122720853.0,11326.8,82941
31049979000116,78493343000122.0,Celso Ramos,7124803,105811071.0,301.75,70805
31049979000116,82765488000102.0,Taió,9267783,137015997.0,15673.02,91035
31049979000116,82777319000192.0,Campo Belo do Sul,8308209,122720746.0,3150.18,82941
31049979000116,82777335000185.0,Anita Garibaldi,8308209,122720679.0,3590.05,82941
31049979000116,82844754000192.0,Bom Jardim da Serra,209282,3144882.0,9.94,2023
31049979000116,83102251000104.0,Pomerode,156145,1939796.0,7.03,2022
31049979000116,83102418000137.0,Ibirama,989304,14603628.0,2235.2380000000003,8094
31049979000116,83102426000183.0,Dona Emma,989304,14603628.0,134.864,8094
31049979000116,83102434000120.0,Presidente Getúlio,1958520,29200628.0,2030.3600000000001,16188
31049979000116,83102574000106.0,Rio do Sul,9392840,139100079.0,66676.008,93058
31049979000116,83102582000144.0,Agrolândia,1480396,21842954.0,1338.2482,12141
31049979000116,83102616000109.0,Atalanta,989304,14603628.0,98.34800000000001,8094
31049979000116,83102624000147.0,Aurora,989304,14603628.0,352.01,8094
31049979000116,83102657000197.0,Laurentino,3305906,49554852.0,2726.02,28329
31049979000116,83102673000180.0,Petrolândia,491092,7239284.0,109.596,4047
31049979000116,83102681000126.0,Pouso Redondo,8308209,122720898.0,10311.55,82941
31049979000116,83102707000136.0,Rio do Campo,982184,14478614.0,349.08000000000004,8094
31049979000116,83102723000129.0,Salete,7817117,115481655.0,3589.68,78894
31049979000116,83102731000175.0,Trombudo Central,8771243,129659242.0,8502.789999999999,86988
31049979000116,83102848000159.0,Garuva,2903229,41434184.0,5278.28,34380
31049979000116,87851200000136.0,Bom Jesus,8308209,122720851.0,6163.08,82941
31049979000116,87866745000116.0,Vacaria,6695779,98212113.0,32272.309999999998,64738
31049979000116,95952230000167.0,Braço do Trombudo,5007211,73198635.0,567.74,54612
31049979000116,95952248000169.0,Mirim Doce,8159760,120860884.0,918.42,80919
31049979000116,95991097000158.0,Cerro Negro,156145,1939790.0,10.7,2022
36763716000198,6101313000112.0,Içara,4648305,70130781.0,245.995,44515
36763716000198,83073536000164.0,Laguna,2312018,35311026.0,160.74,26299
39525677000189,3392348000593.0,Pescaria Brava,189735,2923742.0,0.006,2023
44109400000105,95886735000170.0,Brusque,173751,2610761.0,0.0042,2022
46656138000144,10351637000267.0,Itajaí,3329700,50027088.0,55.24865,30351
49572629000103,3094629000136.0,Itajaí,398724,6086210.0,0.002,4046
49572629000103,49572629000103.0,Itajaí,190751,2927888.0,0.001,2023
50668722001916,82892316000108.0,Palhoça,966300,14355868.0,29115.08,8094
50668722001916,82892332000192.0,Anitápolis,991320,14643754.0,143.56,8094
50668722001916,82892357000196.0,Rancho Queimado,153791,1901890.0,30.7,2022
50668722001916,82924390000150.0,Leoberto Leal,637295,9088680.0,47.5,6069
50668722001916,82951195000110.0,Angelina,991320,14643758.0,154.22,8094
59374918000143,34929226000193.0,Rio dos Cedros,962782,12830776.0,937.6322,12132
60526977020951,3094629000136.0,Xanxerê,460266,6919710.0,0.048,4047
72332778000451,1613428000172.0,Luzerna,1461917,19523762.0,1080.0,18198
72332778000451,82777251000141.0,Treze Tílias,1461917,19523767.0,1350.0,18198
72332778000451,82939380000199.0,Joaçaba,1461917,19523757.0,5727.3,18198
72332778000451,82939398000190.0,Água Doce,1461917,19523732.0,900.0,18198
72332778000451,82939414000145.0,Catanduvas,1461917,19523753.0,1733.5900000000001,18198
72332778000451,82939422000191.0,Erval Velho,1461917,19523742.0,558.0,18198
72332778000451,82939430000138.0,Herval D'Oeste,1121055,14365874.0,2575.48,14154
72332778000966,1566621000108.0,Flor do Sertão,1461810,19522973.0,63.0,18198
72332778000966,83021808000182.0,Chapecó,789692,9740178.0,21581.45,10110
72332778000966,83021816000129.0,Caxambu do Sul,1461810,19522938.0,324.0,18198
72332778000966,83021840000168.0,Nova Erechim,1461810,19522989.0,450.0,18198
72332778000966,83021857000115.0,Pinhalzinho,1461810,19522974.0,3240.0,18198
72332778000966,83021881000154.0,Saudades,471369,5825116.0,354.0,6066
72332778000966,83028415000109.0,São Miguel do Oeste,1461810,19522986.0,1413.0,18198
72332778000966,95990107000130.0,Sul Brasil,340858,5157824.0,80.0,4044
72332778001008,1593132000137.0,Jupiá,1462920,19526482.0,180.0,18198
72332778001008,1612836000100.0,Princesa,1289527,16917310.0,176.0,16176
72332778001008,82821174000180.0,São Miguel do Oeste,1289527,16917274.0,6631.56,16176
72332778001008,82821216000182.0,Guaraciaba,1462920,19526492.0,1080.0,18198
72332778001008,83028639000102.0,Palma Sola,1123893,14604706.0,623.0,14154
73446320000143,18118074000192.0,Rodeio,186152,2816465.0,1.0,2023
75193516000107,5666925000190.0,Mafra,9713123,143447238.0,4056.92,93064
75326066000175,31049979000116.0,Otacílio Costa,10248161,150849748.0,11962.26874,99129
75438655000145,83073536000164.0,Lages,12414219,183083125.0,10565.18,107229
